real,pred
"[0.2153758441518014, 0.2392360628344242, 0.2219342937388052, 0.1617817783274697, 0.0947369442989951, 0.0377150534298953, 0.0092537436373665, 0.0020251732796456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0049170942285087, 0.0130240120730878]","[0.24747371673583984, 0.2732008099555969, 0.2340213656425476, 0.13945667445659637, 0.05441932752728462, 0.012682310305535793, 0.0017522471025586128, 0.000308987800963223, 5.0962644309038296e-05, 4.055415774928406e-05, 4.344130138633773e-05, 8.004004484973848e-05, 0.0003631497093010694, 0.0011979889823123813, 0.009927213191986084, 0.02498120255768299]"
"[0.1613942785249859, 0.1997463998058534, 0.2080662523836174, 0.1723966682610955, 0.1233405528019088, 0.0740681766071852, 0.0382044500605366, 0.0148819155998859, 0.002810759130915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013951591383243, 0.0036953876856913]","[0.2314135581254959, 0.2595970928668976, 0.23298656940460205, 0.1511085033416748, 0.07013188302516937, 0.021176783367991447, 0.004040299449115992, 0.0007763606263324618, 0.00011829626600956544, 6.303162081167102e-05, 4.6346209273906425e-05, 7.139000081224367e-05, 0.000270298303803429, 0.0008826091652736068, 0.007283748593181372, 0.02003323845565319]"
"[0.0979606048423712, 0.1497851915727629, 0.184842726769413, 0.17715390501387, 0.149278064903327, 0.1123804370849267, 0.0755117584997788, 0.0389122330166285, 0.0125245173583664, 0.0016505609385549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1573508083820343, 0.20324701070785522, 0.2197771817445755, 0.18123848736286163, 0.12478219717741013, 0.06797271966934204, 0.025322698056697845, 0.0062834457494318485, 0.0008103451691567898, 0.00017604033928364515, 5.2456260164035484e-05, 4.253814404364675e-05, 0.0001136930295615457, 0.00041647726902738214, 0.003411703510209918, 0.00900217890739441]"
"[0.0428365457684652, 0.0921269354619015, 0.1441141520828588, 0.1663905661876773, 0.1621688094869456, 0.1417754110153677, 0.1135367725117904, 0.0762822876153394, 0.0395215807151202, 0.015296992791422, 0.0047831940827557, 0.0011667522803558, 0.0, 0.0, 0.0, 0.0]","[0.09403111785650253, 0.1487828940153122, 0.18742342293262482, 0.18134059011936188, 0.15369132161140442, 0.12170648574829102, 0.07375362515449524, 0.028101734817028046, 0.0051391879096627235, 0.0008703088969923556, 0.00015303405234590173, 7.260065467562526e-05, 8.777159382589161e-05, 0.00025177880888804793, 0.0013588828733190894, 0.0032352739945054054]"
"[0.0080034714385242, 0.0359407729240149, 0.085414825037017, 0.1304535727916192, 0.152380103321476, 0.1534976252835437, 0.1422230769499148, 0.1175148586456387, 0.0840826113278213, 0.0518763299360915, 0.0267369167084086, 0.0102233786989894, 0.0016524569369402, 0.0, 0.0, 0.0]","[0.0544230081140995, 0.10695406049489975, 0.15728610754013062, 0.16901087760925293, 0.15825851261615753, 0.14003412425518036, 0.11431949585676193, 0.06643066555261612, 0.02404436282813549, 0.005538737867027521, 0.0010297689586877823, 0.00034415689879097044, 0.00017531808407511562, 0.00024136419233400375, 0.0006594444275833666, 0.001249948050826788]"
"[0.0, 0.0070469636711539, 0.0353504973206529, 0.0787242366260771, 0.119290912508865, 0.1444637995751914, 0.1531402847538014, 0.1458589860919566, 0.1254257400764224, 0.0955175912007069, 0.0607773683761028, 0.0280757968650533, 0.0063278229340158, 0.0, 0.0, 0.0]","[0.024766435846686363, 0.06199885904788971, 0.10736950486898422, 0.1445184201002121, 0.15525686740875244, 0.1509067267179489, 0.14308732748031616, 0.10775240510702133, 0.06448089331388474, 0.0263349749147892, 0.007852720096707344, 0.002731502056121826, 0.0008790058782324195, 0.0005345657700672746, 0.0006282511167228222, 0.000901503546629101]"
"[0.0, 0.0, 0.0078744203936127, 0.0319963043802039, 0.075382431016387, 0.1175353614464673, 0.1446061062381352, 0.1564651301797775, 0.1528712823887443, 0.1313674608295771, 0.0966810924104355, 0.0555862162232988, 0.0201366090916155, 0.0053127410031857, 0.0025722916966414, 0.0016125527019176]","[0.007733319420367479, 0.02221621200442314, 0.05375121161341667, 0.09535524249076843, 0.12997755408287048, 0.1429949700832367, 0.15192681550979614, 0.14064322412014008, 0.11699096113443375, 0.07652685791254044, 0.03834576904773712, 0.015605801716446877, 0.004445772618055344, 0.0016420448664575815, 0.0009309060988016427, 0.0009133056737482548]"
"[0.0, 0.0, 0.0, 0.0057776866320951, 0.0313516966041642, 0.0686474070816084, 0.1067304137424328, 0.1417355714529351, 0.1599748258705916, 0.153266318029022, 0.1313764717936953, 0.0994603577729092, 0.0572388121844505, 0.0272196711489497, 0.0120670981809109, 0.0051536695062349]","[0.005027548409998417, 0.012907533906400204, 0.030299458652734756, 0.057239729911088943, 0.08769278973340988, 0.11122390627861023, 0.13247717916965485, 0.14100763201713562, 0.13420578837394714, 0.11609920114278793, 0.09065894037485123, 0.05117068067193031, 0.019327357411384583, 0.006221345160156488, 0.0025798946153372526, 0.0018609755206853151]"
"[0.0, 0.0, 0.0, 0.0, 0.0060791328229277, 0.0212944757780536, 0.0524004022953532, 0.0988227388903778, 0.1379976625945025, 0.1548220937178107, 0.1572113405459822, 0.146196686879191, 0.1087802603152355, 0.0662080867101493, 0.0341730026058416, 0.0160141168445745]","[0.0022476965095847845, 0.0048875994980335236, 0.011075140908360481, 0.023213297128677368, 0.04520184174180031, 0.07241623848676682, 0.10227977484464645, 0.1265672743320465, 0.13686232268810272, 0.14032875001430511, 0.13290533423423767, 0.10425429791212082, 0.058424849063158035, 0.023764077574014664, 0.009850913658738136, 0.00572064146399498]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0027662046416728, 0.018520701454666, 0.0587381341506094, 0.106557513053726, 0.1416858425211443, 0.1628718685962893, 0.1690936141387346, 0.1423128756810626, 0.0991366598832372, 0.0608371024092006, 0.0374794834696567]","[0.003169903764501214, 0.005226023495197296, 0.008524039760231972, 0.013109447434544563, 0.023541532456874847, 0.03876927122473717, 0.0627845749258995, 0.09555692225694656, 0.12184921652078629, 0.13849176466464996, 0.15190096199512482, 0.1410716027021408, 0.1028457060456276, 0.05325043573975563, 0.025889117270708084, 0.01401950977742672]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0045111601847844, 0.0313840260086506, 0.0774593481924384, 0.1230002631941598, 0.1567664914378504, 0.1748236210798216, 0.1585379966365368, 0.1224063005944535, 0.0870365775846144, 0.0640742150866897]","[0.0006626140093430877, 0.0006763598648831248, 0.0006908518844284117, 0.0008307392126880586, 0.0016239579999819398, 0.0036640216130763292, 0.012362400069832802, 0.042323723435401917, 0.08665654063224792, 0.12921838462352753, 0.16645008325576782, 0.18423418700695038, 0.15852731466293335, 0.10797585546970367, 0.06635350733995438, 0.03774949908256531]"
"[0.0016632507676667, 0.0006279448072039, 0.0, 0.0, 0.0, 0.0, 0.0010264856728371, 0.0199011567008583, 0.0590362906215808, 0.1044865441053203, 0.1452285172814759, 0.173467463474335, 0.1670648281175132, 0.1374663524734602, 0.105763058630938, 0.0842681073468102]","[0.00036574830301105976, 0.0002828123979270458, 0.00019230756151955575, 0.00015314588381443173, 0.00021991156972944736, 0.00043024166370742023, 0.0019165421836078167, 0.012816837057471275, 0.04728521779179573, 0.09845872223377228, 0.15472373366355896, 0.19063977897167206, 0.1806502640247345, 0.1410609632730484, 0.10215740650892258, 0.06864640861749649]"
"[0.0027686841770217, 0.0010452908758836, 0.0, 0.0, 0.0, 0.0, 0.0006285995942451, 0.0159832398954236, 0.0495087571517041, 0.0925408796036703, 0.1379450513996745, 0.1735656497815516, 0.1728036359095363, 0.1452927342464785, 0.1144222142402788, 0.0934952631245314]","[0.0005612744716927409, 0.0004140315286349505, 0.00023154349764809012, 0.00014106724120210856, 0.00014078232925385237, 0.00019952798902522773, 0.0007304401369765401, 0.00523959007114172, 0.025741273537278175, 0.06872706115245819, 0.13254092633724213, 0.18552984297275543, 0.19548636674880981, 0.16224633157253265, 0.12795811891555786, 0.0941118597984314]"
"[0.0017916786719555, 0.0006764315640814, 0.0, 0.0, 0.0, 0.0, 0.0019399880029442, 0.0183934434609265, 0.0506567486216996, 0.091537575466791, 0.1365095909737096, 0.1734089374382848, 0.1743305966389065, 0.1474666936079783, 0.1139486002682243, 0.0893397152844977]","[0.001150342053733766, 0.0008587507181800902, 0.000466710131149739, 0.00024538664729334414, 0.0001923293893923983, 0.00022186791466083378, 0.0006345641450025141, 0.003935556393116713, 0.01983036659657955, 0.05797026678919792, 0.12381221354007721, 0.18091514706611633, 0.19824527204036713, 0.16771440207958221, 0.13977305591106415, 0.10403378307819366]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0064808062257206, 0.0291058283783326, 0.0644413061190751, 0.1038429112881001, 0.1439168604559791, 0.1732140007330361, 0.1676083524402971, 0.139010575393395, 0.1018057222548616, 0.0705736367112022]","[0.0010910083074122667, 0.0007837091688998044, 0.00040506196091882885, 0.00020515182404778898, 0.00015078121214173734, 0.00016295191016979516, 0.00044507638085633516, 0.002878150437027216, 0.016512451693415642, 0.052816517651081085, 0.11985380202531815, 0.1795811951160431, 0.20483767986297607, 0.17218491435050964, 0.14301307499408722, 0.10507848858833313]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001423428295216, 0.0147225174008532, 0.0462018769187184, 0.0861945362661238, 0.1227955172195525, 0.1544175124861564, 0.1724097698647954, 0.1554084791826469, 0.1184921142556771, 0.0788175070183411, 0.0491167410919187]","[0.0018597777234390378, 0.0015905245672911406, 0.0010045127710327506, 0.000590705603826791, 0.0005167510244064033, 0.0006153412978164852, 0.0015856311656534672, 0.007612888235598803, 0.028382737189531326, 0.06780603528022766, 0.13117587566375732, 0.17720992863178253, 0.19666500389575958, 0.1604556441307068, 0.13096947968006134, 0.09195919334888458]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0038821625222659, 0.0250660206821862, 0.0655589075164873, 0.1092313418634381, 0.1425995934476541, 0.1661685647856029, 0.1723867762874376, 0.1412888626868552, 0.0918520147030205, 0.0515554960952114, 0.0304102594098402]","[0.0013671525521203876, 0.0012871043290942907, 0.0009853974916040897, 0.0007668233010917902, 0.0009384305449202657, 0.0014416066696867347, 0.0041487812995910645, 0.01726727932691574, 0.047427643090486526, 0.09024414420127869, 0.14458708465099335, 0.1799018234014511, 0.18633320927619934, 0.14380475878715515, 0.10750475525856018, 0.07199401408433914]"
"[0.0, 0.0, 0.0, 0.0, 0.0013953177653992, 0.0089463547082964, 0.0355297573589762, 0.0803201549565852, 0.1236084400543816, 0.1523881713141926, 0.1699211551506281, 0.1679475355227818, 0.1280085014554436, 0.0742258574731261, 0.0368245572327024, 0.0208841970074864]","[0.00333223445340991, 0.004382525570690632, 0.0050497958436608315, 0.005320649594068527, 0.007571674883365631, 0.011589420028030872, 0.022755907848477364, 0.04936182126402855, 0.0797717347741127, 0.11387021094560623, 0.1511707752943039, 0.17082582414150238, 0.15986651182174683, 0.10755792260169983, 0.06785581260919571, 0.039717137813568115]"
"[0.0, 0.0, 0.0, 0.0, 0.002608767074486, 0.0128581279615743, 0.0402950057015212, 0.0821083648939506, 0.1212431311507241, 0.1496153252449507, 0.1690614446226865, 0.1674513582856254, 0.1265134675913479, 0.0737759865616702, 0.0363290475904383, 0.0181399733210244]","[0.012455904856324196, 0.01874333992600441, 0.025637071579694748, 0.02674080990254879, 0.04234353080391884, 0.04491635039448738, 0.04967176541686058, 0.05176009237766266, 0.06436805427074432, 0.1313018947839737, 0.11376344412565231, 0.15387901663780212, 0.11346923559904099, 0.07250009477138519, 0.0418415330350399, 0.03660789504647255]"
"[0.0, 0.0, 0.0, 0.0004763636061447, 0.0043404084615102, 0.0143798078898308, 0.0388204985272434, 0.0757872008301628, 0.1111754851682494, 0.1395747703750986, 0.162892664209022, 0.1658055876425178, 0.1306514393523775, 0.0832287513534884, 0.0467053954056378, 0.026161627178716]","[0.010641432367265224, 0.02114834263920784, 0.032690055668354034, 0.04170391708612442, 0.06871844083070755, 0.08193673193454742, 0.06854626536369324, 0.06667845696210861, 0.06610633432865143, 0.09819171577692032, 0.11093074083328247, 0.11817224323749542, 0.0904836431145668, 0.06196396052837372, 0.029171409085392952, 0.03291631489992142]"
"[0.0033119808462, 0.0059867727159069, 0.0064766504518395, 0.0063371784078588, 0.0099011332375844, 0.0150573905160868, 0.0336186035721512, 0.0668131077263083, 0.1010470866465695, 0.1279936186083946, 0.1523932962609846, 0.159643608676638, 0.1318397618564601, 0.0901072900469091, 0.0555462727988975, 0.0339262476312101]","[0.004838493186980486, 0.00826409924775362, 0.012822228483855724, 0.01578214205801487, 0.034276288002729416, 0.04162101447582245, 0.05572623014450073, 0.061269838362932205, 0.07452554255723953, 0.12287849187850952, 0.1408635526895523, 0.15966461598873138, 0.12686234712600708, 0.07944589108228683, 0.03292063996195793, 0.028238605707883835]"
"[0.0167033521483694, 0.018981245010559, 0.0172039741589471, 0.0147309967006302, 0.0181278667391153, 0.0196329102398301, 0.0316876233034762, 0.057460022473811, 0.0886629158055725, 0.1133199716316881, 0.1374337006707796, 0.1482380004731156, 0.1285522440541091, 0.0914683081252521, 0.05899397671561, 0.038802891749134]","[0.004323977045714855, 0.0065480791963636875, 0.008966267108917236, 0.00828639417886734, 0.01614876464009285, 0.017789971083402634, 0.03542167320847511, 0.04438415542244911, 0.08391986787319183, 0.11380115151405334, 0.15202194452285767, 0.17256823182106018, 0.1550646424293518, 0.10307250171899796, 0.04045708104968071, 0.037225306034088135]"
"[0.0270744654397234, 0.0262597490085691, 0.0204217588606659, 0.0150558456892261, 0.0182308331622911, 0.0213534043507246, 0.0321659308378038, 0.0512573541627534, 0.0785437707697153, 0.1051507954918217, 0.1331300430988105, 0.1478592926819363, 0.1313161080322633, 0.0925075365309858, 0.0587782098000837, 0.0408949020826252]","[0.004259421490132809, 0.005928143858909607, 0.006727423518896103, 0.007047193590551615, 0.009950308129191399, 0.01445828191936016, 0.027065783739089966, 0.05334413796663284, 0.08501102030277252, 0.11675192415714264, 0.15069565176963806, 0.16783133149147034, 0.15458643436431885, 0.10165614634752274, 0.06027107313275337, 0.034415747970342636]"
"[0.021454423304491, 0.0189530338818966, 0.0123141493713287, 0.006974784953343, 0.0098636913368184, 0.0152772254363386, 0.0261436197694415, 0.0428158654398486, 0.0710782507027972, 0.1059376668277555, 0.1434815021036714, 0.164681559166752, 0.1476422953303555, 0.1044893029809745, 0.0654713422836146, 0.0434212871105724]","[0.005807390436530113, 0.007686956319957972, 0.007706106640398502, 0.006770494859665632, 0.007805577479302883, 0.010137159377336502, 0.018548086285591125, 0.040302544832229614, 0.07080283761024475, 0.10612639784812927, 0.14456170797348022, 0.17009414732456207, 0.16397690773010254, 0.11781744658946991, 0.07567577809095383, 0.04618040844798088]"
"[0.0055501618210085, 0.005359140727908, 0.0028903567447948, 0.0004879319996466, 0.0012445997860966, 0.0040546062846072, 0.0125912202189405, 0.0312035227220781, 0.0646144915736404, 0.1079079959252694, 0.1539880771244264, 0.1846526033416066, 0.171030207050373, 0.1266098705882908, 0.079794258608974, 0.0480209554823381]","[0.0013264381559565663, 0.0015202055219560862, 0.0014254924608394504, 0.0011093227658420801, 0.0016921056667342782, 0.0031333945225924253, 0.007692988496273756, 0.028754618018865585, 0.045719511806964874, 0.10431145876646042, 0.1931721270084381, 0.171274334192276, 0.16055478155612946, 0.13386861979961395, 0.0830702930688858, 0.06137431412935257]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0043664937104165, 0.0213976962599176, 0.0547127719505089, 0.0997868410422769, 0.1509395217912327, 0.190455027970709, 0.1851401750941828, 0.1449440833201711, 0.0938126119797234, 0.0544447768808608]","[0.0014608973870053887, 0.0016283964505419135, 0.0014575324021279812, 0.0010374311823397875, 0.001628661178983748, 0.0016729380004107952, 0.005697693210095167, 0.015084878541529179, 0.04749468341469765, 0.10345196723937988, 0.1652439832687378, 0.1807226538658142, 0.18663936853408813, 0.14345262944698334, 0.08121936768293381, 0.062106821686029434]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018915623968743, 0.0131191756749883, 0.0431879603986465, 0.0909617184174601, 0.1481405510795511, 0.1929661188601901, 0.1918809744126985, 0.1531066343361036, 0.1020934565111333, 0.0626518479123539]","[0.0016882403288036585, 0.001864606630988419, 0.0016414329875260592, 0.0011144432937726378, 0.001708280062302947, 0.00166116573382169, 0.00524098938331008, 0.013658644631505013, 0.04420732706785202, 0.0985686257481575, 0.16382654011249542, 0.17601975798606873, 0.18896274268627167, 0.14711228013038635, 0.08498892933130264, 0.06773601472377777]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0074032322623496, 0.0368899424917323, 0.0882355381900356, 0.1490885171754665, 0.1947929958594078, 0.1932868611751856, 0.1550020128278612, 0.1064441000214665, 0.0688567999964946]","[0.0006962138577364385, 0.0006762247066944838, 0.0005429963930509984, 0.0003875013499055058, 0.0005658942391164601, 0.0008200927986763418, 0.0027860826812684536, 0.01576344296336174, 0.05125460401177406, 0.09190494567155838, 0.17053790390491486, 0.19541393220424652, 0.18954943120479584, 0.12979628145694733, 0.0902111679315567, 0.05909319967031479]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0086125717441412, 0.0381901591780757, 0.0883313623272509, 0.1464638128529603, 0.1902854635425833, 0.1883438550772464, 0.1538439079696567, 0.1101501884104264, 0.0757786788976587]","[0.0002939931000582874, 0.00021433782239910215, 0.00011155303218401968, 7.048328552627936e-05, 0.00010603845294099301, 0.00013561645755544305, 0.0003930855600629002, 0.0014911232283338904, 0.007894287817180157, 0.05503663048148155, 0.13319770991802216, 0.16026386618614197, 0.18509691953659058, 0.19082050025463104, 0.1370498389005661, 0.12782397866249084]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0103227812803735, 0.0386457805372339, 0.085562579322701, 0.1419099350822835, 0.186987783378527, 0.1864581688996976, 0.1550688129905923, 0.1140324996604954, 0.0810116588480954]","[0.00021280620421748608, 0.0001428730902262032, 7.570296293124557e-05, 5.230879833106883e-05, 8.854321640683338e-05, 0.00012533827975858003, 0.00041420667548663914, 0.0016229224856942892, 0.008852709084749222, 0.06022699177265167, 0.13824869692325592, 0.16322772204875946, 0.18668526411056519, 0.18506525456905365, 0.13306841254234314, 0.12189026921987534]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0092770829629601, 0.0364000667448574, 0.0828154890704943, 0.1398163056003045, 0.1847540260253236, 0.1843351979244444, 0.1545888861047111, 0.1182628955092326, 0.0897500500576717]","[0.00018962463946081698, 0.0001304885372519493, 7.182953413575888e-05, 5.046060687163845e-05, 9.070886153494939e-05, 0.00013533173478208482, 0.0004893481382168829, 0.0019375348929315805, 0.010260219685733318, 0.06808119267225266, 0.14701421558856964, 0.16481778025627136, 0.18457117676734924, 0.18047630786895752, 0.1260591447353363, 0.11562465876340866]"
